fen,llm_output
8/8/8/8/8/6B1/5QN1/5K1k w - - 0 1,1. Qh2
5k1K/5qn1/6b1/8/8/8/8/8 b - - 0 1,1... Qf6
6k1/5ppp/8/4R3/1K6/8/8/8 w - - 0 1,1. Re5
8/8/8/1k6/4r3/8/5PPP/6K1 b - - 0 1,1... Re5
8/7R/k7/2P5/1PP3B1/8/8/K7 w - - 0 1,1. Ra7+
k7/8/8/1pp3b1/2p5/K7/7r/8 b - - 0 1,1... b5-b4
5rkr/5ppp/8/8/4N1R1/8/6K1/8 w - - 0 1,1. Rxg7
8/6k1/8/4n1r1/8/8/5PPP/5RKR b - - 0 1,1... Ne5-f7
5k2/5P2/4PK2/8/8/8/8/8 w - - 0 1,1. e7
8/8/8/8/8/4pk2/5p2/5K2 b - - 0 1,1... e2
7r/8/2KQ4/3B4/8/r4R2/7r/4b1nk w - - 0 1,1. Qd6c5
4B1NK/7R/R4r2/8/3b4/2kq4/8/7R b - - 0 1,1... Kc3-b3
8/p1K5/k1P5/8/1p6/3P1P2/5R2/4R3 w - - 0 1,1. Kc7-b7
4r3/5r2/3p1p2/1P6/8/K1p5/P1k5/8 b - - 0 1,1... Kc2-d2
r3r3/p7/1p1n1B2/7R/4k3/PP1p1RP1/7P/3K4 w - - 0 1,1. Rh6
3k4/7p/pp1P1rp1/4K3/7r/1P1N1b2/P7/R3R3 b - - 0 1,1... Rfxd6
3r1r1k/pp3b1p/2qpQp2/3Np3/8/8/PPP2PPP/3R1RK1 w - - 0 1,1. Qxd6
3r1rk1/ppp2ppp/8/8/3nP3/2QPqP2/PP3B1P/3R1R1K b - - 0 1,1... Qe5
1K1R4/1PP2PPP/8/P4p2/pN1Q2p1/1pNp1q1p/1kp1r3/2r5 w - - 0 1,1. Qd5
2R5/1KP1R3/1PnP1Q1P/Pn1q2P1/p4P2/8/1pp2ppp/1k1r4 b - - 0 1,1... c1=Q
r5k1/2r4p/4pRpP/qP1p4/3Q2P1/5R2/1P6/1K6 w - - 0 1,1. Qd3
1k6/1p6/5r2/3q2p1/Qp1P4/4PrPp/2R4P/R5K1 b - - 0 1,1... b6
r4r1k/p5Rp/1p3pb1/2P4N/2B5/P7/6PP/B2n2K1 w - - 0 1,1. Rxg8
b2N2k1/6pp/p7/2b5/2p4n/1P3PB1/P5rP/R4R1K b - - 0 1,1... c3
2R5/kp3r1q/p4Q2/P3P1B1/K7/8/5b2/8 w - - 0 1,1. Qxf7
8/5B2/8/k7/p3p1b1/P4q2/KP3R1Q/2r5 b - - 0 1,1... Qxf2
5r2/2R2P1k/7p/4q3/7K/8/6Q1/8 w - - 0 1,1. Qg4
8/6q1/8/7k/4Q3/7P/2r2p1K/5R2 b - - 0 1,1... Rh2#
r1b1Rbk1/1p3p1p/p2q2pQ/3P4/3Nn3/1P1n1PP1/PB4BP/R5K1 w - - 0 1,1. Qxg6
r5k1/pb4bp/1p1N1pp1/3nN3/3p4/P2Q2Pq/1P3P1P/R1B1rBK1 b - - 0 1,1... Qh5
6kn/5p1p/6p1/2B1P3/1P2P3/5P2/2r3PP/R5K1 w - - 0 1,1. e6
r5k1/2R3pp/5p2/1p2p3/2b1p3/6P1/5P1P/6KN b - - 0 1,1... e3
bn2k3/2R2r2/1p1p4/3N2BB/4P3/2P3PP/r4r2/R3n2K w - - 0 1,1. Rc7-c8
r3N2k/R4R2/2p3pp/4p3/3n2bb/1P1P4/2r2R2/BN2K3 b - - 0 1,1... Rxf2
8/1Q4R1/p3q2p/5ppk/8/4P1PP/2r5/6K1 w - - 0 1,1. Qb7e4
6k1/2R5/4p1pp/8/5PPK/P3Q2P/1q4r1/8 b - - 0 1,1... e5
r1bk3r/pppq1ppp/5n2/4N1N1/2Bp4/Bn6/P4PPP/4R1K1 w - - 0 1,1. Nxf7
4r1k1/p4ppp/bN6/2bP4/4n1n1/5N2/PPPQ1PPP/R1BK3R b - - 0 1,1... Re7
r1b1kb1r/1p1nnppp/4p3/1N1p2BP/3N4/2P3Q1/Pq3PP1/R3K2R w - - 0 1,1. O-O
r3k2r/pQ3pp1/2p3q1/3n4/1n1P2bp/4P3/1P1NNPPP/R1B1KB1R b - - 0 1,1... Qh5
